Date,Open,High,Low,Close,Adj Close,Volume
1/2/2019,38.7225,39.712502,38.557499,39.48,38.629097,148158800
1/3/2019,35.994999,36.43,35.5,35.547501,34.781353,365248800
1/4/2019,36.1325,37.137501,35.950001,37.064999,36.266144,234428400
1/7/2019,37.174999,37.2075,36.474998,36.982498,36.185429,219111200
1/8/2019,37.389999,37.955002,37.130001,37.6875,36.875229,164101200
1/9/2019,37.822498,38.6325,37.407501,38.327499,37.501434,180396400
1/10/2019,38.125,38.4925,37.715,38.450001,37.6213,143122800
1/11/2019,38.220001,38.424999,37.877499,38.072498,37.25193,108092800
1/14/2019,37.712502,37.817501,37.305,37.5,36.691772,129756800
1/15/2019,37.567501,38.3475,37.512501,38.267502,37.442734,114843600
1/16/2019,38.27,38.970001,38.25,38.735001,37.900158,122278800
1/17/2019,38.549999,39.415001,38.314999,38.965,38.125195,119284800
1/18/2019,39.375,39.470001,38.994999,39.205002,38.360023,135004000
1/22/2019,39.102501,39.182499,38.154999,38.325001,37.498989,121576000
1/23/2019,38.537498,38.785,37.924999,38.48,37.65065,92522400
1/24/2019,38.5275,38.619999,37.935001,38.174999,37.352219,101766000
1/25/2019,38.869999,39.532501,38.580002,39.439999,38.589962,134142000
1/28/2019,38.947498,39.0825,38.415001,39.075001,38.232826,104768400
1/29/2019,39.0625,39.532501,38.5275,38.669998,37.836552,166348800
1/30/2019,40.8125,41.537498,40.057499,41.3125,40.422104,244439200
1/31/2019,41.5275,42.25,41.139999,41.610001,40.713184,162958400
2/1/2019,41.740002,42.244999,41.482498,41.630001,40.732758,130672400
2/4/2019,41.852501,42.915001,41.82,42.8125,41.889771,125982000
2/5/2019,43.215,43.77,43.087502,43.544998,42.606483,144406400
2/6/2019,43.662498,43.892502,43.212502,43.560001,42.621162,112958400
2/7/2019,43.099998,43.485001,42.584999,42.735001,41.813942,126966800
2/8/2019,42.247501,42.665001,42.105,42.602501,41.863079,95280000
2/11/2019,42.762501,42.802502,42.3125,42.357498,41.622322,83973600
2/12/2019,42.525002,42.75,42.424999,42.7225,41.980991,89134000
2/13/2019,42.8475,43.119999,42.48,42.544998,41.806568,89960800
2/14/2019,42.427502,42.814999,42.345001,42.700001,41.958885,87342800
2/15/2019,42.8125,42.924999,42.4375,42.605,41.865532,98507200
2/19/2019,42.427502,42.860001,42.372501,42.732498,41.990814,75891200
2/20/2019,42.797501,43.330002,42.747501,43.0075,42.261044,104457600
2/21/2019,42.950001,43.092499,42.575001,42.764999,42.022755,68998800
2/22/2019,42.895,43.25,42.845001,43.2425,42.491962,75652800
2/25/2019,43.540001,43.967499,43.487499,43.557499,42.801495,87493600
2/26/2019,43.427502,43.825001,43.2925,43.5825,42.826061,68280800
2/27/2019,43.302502,43.75,43.182499,43.717499,42.958721,111341600
2/28/2019,43.580002,43.727501,43.23,43.287498,42.536182,112861600
3/1/2019,43.57,43.787498,43.2225,43.7425,42.98328,103544800
3/4/2019,43.922501,44.4375,43.4925,43.962502,43.199471,109744800
3/5/2019,43.985001,44,43.634998,43.8825,43.120853,78949600
3/6/2019,43.6675,43.872501,43.485001,43.630001,42.872742,83241600
3/7/2019,43.467499,43.610001,43.005001,43.125,42.376507,99185600
3/8/2019,42.580002,43.267502,42.375,43.227501,42.477226,95997600
3/11/2019,43.872501,44.779999,43.837502,44.724998,43.94873,128044000
3/12/2019,45,45.6675,44.842499,45.227501,44.442513,129870400
3/13/2019,45.5625,45.825001,45.23,45.427502,44.639038,124130000
3/14/2019,45.974998,46.025002,45.639999,45.932499,45.135273,94318000
3/15/2019,46.212502,46.8325,45.935001,46.529999,45.722401,156171600
3/18/2019,46.450001,47.0975,46.447498,47.005001,46.189163,104879200
3/19/2019,47.087502,47.247501,46.48,46.6325,45.823128,126585600
3/20/2019,46.557499,47.372501,46.182499,47.040001,46.223557,124140800
3/21/2019,47.505001,49.0825,47.452499,48.772499,47.92598,204136800
3/22/2019,48.834999,49.422501,47.695,47.762501,46.933514,169630800
3/25/2019,47.877499,47.994999,46.650002,47.185001,46.366032,175381200
3/26/2019,47.915001,48.220001,46.145,46.697498,45.886997,199202000
3/27/2019,47.1875,47.439999,46.637501,47.1175,46.299709,119393600
3/28/2019,47.237499,47.389999,46.8825,47.18,46.361122,83121600
3/29/2019,47.4575,47.52,47.134998,47.487499,46.663288,94256000
4/1/2019,47.91,47.919998,47.095001,47.810001,46.980194,111448000
4/2/2019,47.772499,48.615002,47.762501,48.505001,47.663128,91062800
4/3/2019,48.3125,49.125,48.287498,48.837502,47.989861,93087200
4/4/2019,48.697498,49.092499,48.285,48.922501,48.073376,76457200
4/5/2019,49.112499,49.275002,48.982498,49.25,48.395191,74106400
4/8/2019,49.105,50.057499,49.084999,50.025002,49.156742,103526800
4/9/2019,50.080002,50.712502,49.807499,49.875,49.009346,143072800
4/10/2019,49.669998,50.185001,49.544998,50.154999,49.284485,86781200
4/11/2019,50.212502,50.25,49.610001,49.737499,48.874233,83603200
4/12/2019,49.799999,50.035,49.052502,49.717499,48.85458,111042800
4/15/2019,49.645,49.962502,49.502499,49.807499,48.943016,70146400
4/16/2019,49.865002,50.342499,49.639999,49.8125,48.947933,102785600
4/17/2019,49.884998,50.845001,49.6525,50.782501,49.901096,115627200
4/18/2019,50.779999,51.037498,50.630001,50.965,50.080433,96783200
4/22/2019,50.7075,51.235001,50.584999,51.1325,50.245026,77758000
4/23/2019,51.107498,51.9375,50.974998,51.869999,50.969719,93292000
4/24/2019,51.84,52.119999,51.762501,51.790001,50.891109,70162400
4/25/2019,51.7075,51.939999,51.279999,51.32,50.429272,74172800
4/26/2019,51.224998,51.25,50.529999,51.075001,50.188522,74596400
4/29/2019,51.099998,51.4925,50.965,51.1525,50.264679,88818800
4/30/2019,50.764999,50.849998,49.7775,50.1675,49.296772,186139600
5/1/2019,52.470001,53.827499,52.307499,52.630001,51.716534,259309200
5/2/2019,52.459999,53.162498,52.032501,52.287498,51.379974,127985200
5/3/2019,52.7225,52.959999,52.557499,52.9375,52.018696,83569600
5/6/2019,51.072498,52.209999,50.875,52.119999,51.215385,129772400
5/7/2019,51.470001,51.855,50.2075,50.715,49.834774,155054800
5/8/2019,50.474998,51.334999,50.4375,50.724998,49.844593,105358000
5/9/2019,50.099998,50.419998,49.165001,50.18,49.309052,139634400
5/10/2019,49.355,49.712502,48.192501,49.294998,48.625954,164834800
5/13/2019,46.927502,47.369999,45.712502,46.43,45.799843,229722400
5/14/2019,46.602501,47.424999,46.352501,47.165001,46.524864,146118800
5/15/2019,46.567501,47.9375,46.505001,47.73,47.082195,106178800
5/16/2019,47.477501,48.1175,47.209999,47.52,46.87505,132125600
5/17/2019,46.732498,47.724998,46.689999,47.25,46.608715,131516400
5/20/2019,45.880001,46.087502,45.07,45.772499,45.151264,154449200
5/21/2019,46.305,47,46.174999,46.650002,46.016857,113459200
5/22/2019,46.165001,46.427502,45.637501,45.695,45.074814,118994400
5/23/2019,44.950001,45.134998,44.452499,44.915001,44.305401,146118800
5/24/2019,45.049999,45.535,44.654999,44.7425,44.135246,94858800
5/28/2019,44.73,45.147499,44.477501,44.557499,43.952755,111792800
5/29/2019,44.105,44.837502,44,44.345001,43.743137,113924800
5/30/2019,44.487499,44.807499,44.1675,44.575001,43.97002,84873600
5/31/2019,44.057499,44.497501,43.747501,43.767502,43.173477,108174400
6/3/2019,43.900002,44.48,42.567501,43.325001,42.736977,161584400
6/4/2019,43.860001,44.9575,43.630001,44.91,44.300468,123872000
6/5/2019,46.07,46.247501,45.285,45.634998,45.015621,119093600
6/6/2019,45.77,46.3675,45.537498,46.305,45.676537,90105200
6/7/2019,46.627499,47.98,46.442501,47.537498,46.892303,122737600
6/10/2019,47.952499,48.842499,47.904999,48.145,47.491562,104883600
6/11/2019,48.715,49,48.400002,48.702499,48.041492,107731600
6/12/2019,48.487499,48.9925,48.3475,48.547501,47.888603,73012800
6/13/2019,48.674999,49.197498,48.400002,48.537498,47.878731,86698400
6/14/2019,47.887501,48.397499,47.575001,48.185001,47.531021,75046000
6/17/2019,48.224998,48.740002,48.0425,48.4725,47.814621,58676400
6/18/2019,49.012501,50.072498,48.802502,49.612499,48.939144,106204000
6/19/2019,49.919998,49.970001,49.327499,49.467499,48.796116,84496800
6/20/2019,50.092499,50.1525,49.5075,49.865002,49.188217,86056000
6/21/2019,49.700001,50.212502,49.537498,49.695,49.020523,191202400
6/24/2019,49.634998,50.040001,49.5425,49.645,48.971203,72881600
6/25/2019,49.607498,49.814999,48.822498,48.892502,48.22892,84281200
6/26/2019,49.442501,50.247501,49.337502,49.950001,49.272068,104270000
6/27/2019,50.072498,50.392502,49.892502,49.935001,49.257271,83598800
6/28/2019,49.669998,49.875,49.262501,49.48,48.808441,124442400
7/1/2019,50.7925,51.122501,50.162498,50.387501,49.703632,109012000
7/2/2019,50.352501,50.782501,50.34,50.682499,49.994621,67740800
7/3/2019,50.82,51.110001,50.672501,51.102501,50.40892,45448000
7/5/2019,50.837502,51.27,50.724998,51.057499,50.364529,69062000
7/8/2019,50.202499,50.349998,49.602501,50.005001,49.326317,101354400
7/9/2019,49.799999,50.377499,49.702499,50.310001,49.627182,82312000
7/10/2019,50.462502,50.932499,50.389999,50.807499,50.117928,71588400
7/11/2019,50.827499,51.0975,50.427502,50.4375,49.752949,80767200
7/12/2019,50.612499,51,50.549999,50.825001,50.135193,70380800
7/15/2019,51.022499,51.467499,51,51.302502,50.606209,67789600
7/16/2019,51.147499,51.5275,50.875,51.125,50.431118,67467200
7/17/2019,51.012501,51.272499,50.817501,50.837502,50.147518,56430000
7/18/2019,51,51.470001,50.924999,51.415001,50.717182,74162400
7/19/2019,51.447498,51.625,50.59,50.647499,49.960094,83717200
7/22/2019,50.912498,51.807499,50.9025,51.805,51.101891,89111600
7/23/2019,52.115002,52.227501,51.822498,52.209999,51.501389,73420800
7/24/2019,51.9175,52.287498,51.7925,52.1675,51.459473,59966400
7/25/2019,52.2225,52.310001,51.682499,51.755001,51.05257,55638400
7/26/2019,51.869999,52.432499,51.785,51.935001,51.230125,70475600
7/29/2019,52.115002,52.66,52.110001,52.419998,51.708538,86693600
7/30/2019,52.189999,52.540001,51.827499,52.195,51.486591,135742800
7/31/2019,54.105,55.342499,52.825001,53.259998,52.53714,277125600
8/1/2019,53.474998,54.5075,51.685001,52.107498,51.40028,216071600
