Date,AA,AAPL,AXP,BA,BAC,CAT,CVX,DD,DIS,GE,HD,HPQ,INTC,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UTX,VZ,WMT,XOM,T
1/31/1991,0.128181899,0.290697173,0.103029508,0.088154243,0.229508406,0.065478488,-1.72E-02,-0.013605428,0.068125527,0.11546758,0.119740424,0.219607812,0.188317623,0.12168142,0.066202093,0.220930923,0.048387111,-0.021459326,-1.02E-02,0.018080407,0.303987413,0.186340258,0.113004253,-0.079400864,1.59E-02,-0.007833519,-0.085216548,9.09E-02,-0.002415537,-0.055137458
2/28/1991,-0.003884696,0.03370538,0.05494594,-0.018086543,0.039999881,0.097989291,6.61E-02,0.049848212,0.139722408,0.070369943,0.127168595,0.199354674,0.043716213,0.025559873,0.078118102,0.257143254,0.07435965,0.10964919,5.17E-02,0.116120022,0.0573214,0.005233496,0.175870523,0.025236507,3.92E-02,0.05728032,0.010309155,7.20E-02,0.081941026,0.0287083
3/31/1991,0.021443165,0.187773155,0.20312426,-0.025906731,0.198357955,-0.123568514,2.33E-02,-0.013289055,-0.035461032,0.023895733,0.108330079,0.075110032,-0.020942097,-0.115533982,0.167428734,0.068073522,0.040578352,0.101695596,0.00E+00,0.038736488,0.022894408,-0.038730634,0.019046928,0.047691906,6.10E-02,-0.025125772,0.04846933,9.67E-02,0.06122446,0.044185888
4/30/1991,0.037425309,-0.191176678,-0.127247544,-0.02659574,0.064981916,0.001183947,1.58E-02,0.121212164,-0.031146064,0.016158209,0.064814825,0.022499009,0.053472188,-0.09549945,-0.014342002,0.17985476,-0.027649818,-0.03597123,7.06E-03,0.021326925,-0.0671391,0.029811491,0.018692715,-0.009020566,1.26E-02,-0.051546412,-0.014740147,4.52E-02,0.017094051,-0.036757825
5/31/1991,0.053703048,-0.143264694,0.025000534,0.076765661,0.142373036,0.086614898,-4.52E-02,0.146398045,0.007600458,0.099201349,0.145652065,0.061125914,0.131982808,0.042512925,-0.036835018,0.042683656,0.085308211,0.047569646,7.83E-02,0.103248547,0.108588852,-0.163156794,0.086510417,0.014902181,-8.16E-02,0.029582556,-0.057500172,5.86E-02,-0.009739177,-0.030444927
6/30/1991,-0.050966017,-0.117021716,-0.113082797,-0.066326502,-0.143815071,-0.04589279,-4.74E-02,-0.02910058,-0.038793029,-0.042070677,0.02751452,-0.062308998,-0.165923055,-0.084805686,-0.078620392,0.010415994,-0.04385305,-0.060714284,-1.71E-02,-0.018509965,-0.068909768,-0.090778627,-0.057325083,-0.091041705,-2.08E-02,-0.050667412,0.002652633,-1.92E-03,-0.002145979,0.033816416
7/31/1991,0.052223766,0.114458039,0.127778419,0.013661193,-0.027972127,0.001111518,2.49E-02,0.065395177,0.084561125,-0.010135404,0.075474269,0.059113622,0.010756519,0.042471021,0.097305022,0.198831086,0.103210258,-0.003802236,-6.28E-02,0.108718727,0.078899532,0.207612081,0.114864998,0.050181701,-1.20E-02,0.04775203,0.02673892,1.14E-01,0.021505385,0.022762158
8/31/1991,-0.019468592,0.148536777,0.044335112,0.078590732,0.122020759,-0.033077876,6.41E-03,-0.004382642,-0.016563622,0.022183364,0.11145589,-0.016278346,0.053194659,-0.031608329,0.018057709,0.034145425,0.093555829,-0.000988877,-9.63E-04,-0.009712785,0.159862422,0.14326836,0.064261192,0.03405573,3.63E-02,0.036983361,0.041775241,6.39E-02,-0.007821587,0.018518447
9/30/1991,-0.077616686,-0.066037798,-0.023676293,0.02010051,-0.077669718,-0.060527255,2.44E-02,-0.064766811,-0.039999148,-0.066605775,0.011601755,-0.061345806,-0.146469142,0.069677435,-0.048452222,-0.033333733,-0.015382908,0.072796895,3.74E-02,0.025615994,0.043991471,0.085616923,-0.00572503,0.016467662,-3.69E-02,-0.060053034,-0.087719326,-5.68E-02,0.021459215,0.015909057
10/31/1991,-0.00137209,0.040404539,-0.258536394,-0.029556693,0.049122661,0.08278999,1.70E-02,0.055401698,0.043279561,-0.005405398,0.045870405,0.017677545,-0.038460289,-0.051869748,0.076378284,-0.024630103,0.032945062,-0.007142721,9.71E-03,0.054754981,0.054774116,0.020783944,0.099808637,-0.008775284,4.90E-02,0.080554816,0.047675396,-3.14E-02,0.025210042,0.089756972
